date,ticker,close,ma50,ma200,dist_ma50_pct,dist_ma200_pct,ma50_gt_ma200,breakout_3m,atr_pct,dd_3m_pct,ret_1m_pct,ret_3m_pct,score
2026-03-02,SKYT,29.98,27.5134,16.7142,8.965,79.368,1,0,4.41,-13.801,-9.041,105.765,75
2026-03-02,PL,26.36,23.3514,12.6882,12.884,107.752,1,0,7.873,-8.409,0.038,124.915,75
2026-03-02,ADUR,11.06,12.136,11.7895,-8.866,-6.188,1,0,7.041,-25.522,-23.034,-10.878,20
2026-03-02,RDW,9.52,9.6194,10.6386,-1.033,-10.515,0,0,8.865,-32.958,-25.683,77.281,0
2026-03-02,ASST,8.73,14.3525,61.3345,-39.174,-85.767,0,0,10.224,-61.027,-44.395,-61.372,0
2026-03-02,SATL,3.17,3.2226,3.1168,-1.632,1.706,1,0,11.746,-42.364,-39.504,90.964,55
2026-03-02,IBRX,10.44,5.2937,3.2207,97.216,224.153,1,0,13.206,-9.61,76.65,390.141,75
2026-03-02,VG,11.38,8.5232,11.2619,33.518,1.048,0,1,6.054,0.0,17.684,60.05,80
2026-03-02,PRME,4.66,3.7946,3.7502,22.806,24.261,1,0,5.961,-0.321,12.289,25.606,75
2026-03-02,ATAI,3.68,3.8913,3.924,-5.43,-6.219,0,0,9.037,-17.303,-4.167,-1.867,0
2026-03-02,TMDX,147.0,133.7291,125.6646,9.924,16.978,1,0,5.371,-2.274,5.778,0.858,75
2026-03-03,BAC,48.72,53.7478,50.1282,-9.354,-2.809,1,0,3.46,-14.9,-8.421,-8.717,20
2026-03-03,PLTR,139.0218,159.4562,161.6316,-12.815,-13.988,0,0,4.828,-28.402,-5.163,-17.47,0
2026-03-03,QBTS,17.53,23.9642,22.3886,-26.849,-21.701,1,0,8.751,-45.542,-17.389,-22.673,20
2026-03-03,OKLO,64.68,79.2228,84.9996,-18.357,-23.906,0,0,7.956,-42.069,-24.826,-27.096,0
2026-03-03,RKLB,66.7,77.2832,53.3582,-13.694,25.004,1,0,7.871,-30.737,-16.698,58.282,55
2026-03-03,NBIS,84.3,94.2532,81.9303,-10.56,2.892,1,0,9.592,-22.468,-1.045,-11.142,55
2026-03-03,IREN,37.895,46.238,35.5944,-18.044,6.463,1,0,9.742,-39.792,-29.485,-20.738,55
2026-03-03,ZETA,16.945,19.1053,17.7581,-11.307,-4.579,1,0,7.101,-30.553,-8.8,-7.151,20
2026-03-03,OPEN,4.685,5.6588,4.9124,-17.209,-4.629,1,0,9.326,-38.193,-9.029,-39.156,20
2026-03-03,EOSE,5.805,13.0249,10.2554,-55.432,-43.396,1,0,21.745,-68.139,-60.348,-61.429,20
2026-03-03,NVTS,8.7397,8.9093,8.0126,-1.904,9.074,1,0,8.769,-22.589,1.861,-0.003,55
2026-03-03,CIFR,14.38,16.371,12.0373,-12.162,19.462,1,0,10.809,-27.484,-9.9,-29.337,55
2026-03-03,NUAI,4.098,4.882,2.6155,-16.058,56.682,1,0,12.381,-49.156,-40.262,-19.489,55
2026-03-03,CAN,0.4713,0.6641,0.8437,-29.03,-44.138,0,0,9.563,-51.859,-30.691,-53.337,0
2026-03-03,ONDS,9.8284,10.8322,6.4228,-9.267,53.024,1,0,11.049,-29.847,-5.131,24.41,55
2026-03-03,SKYT,28.6,27.7886,16.816,2.92,70.076,1,0,4.643,-17.769,-9.665,85.835,75
2026-03-03,PL,24.745,23.5169,12.7925,5.222,93.434,1,0,8.517,-14.02,-0.901,107.941,75
2026-03-03,ADUR,10.01,12.0824,11.8082,-17.152,-15.229,1,0,8.029,-32.593,-22.881,-24.51,20
